;Judul;album;Lirik
53;Hail To The King;Hail To The King;"House full of roses
A letter on the stairs
A tape full of messages
For anyone who cares
Collage of broken words
And stories full of tears
Remembering your life
'Cause we wish that you were here

Nothing is harder
Than to wake up all alone
Realize it's not okay
It's the end of all you've known
Time keeps passing by
But it seems I'm frozen still
Scars are left behind
But some too deep to feel

And some say this can't be real
And I've lost my power to feel tonight
We're all just victims of a crime
When all's gone and can't be regained
We can't seem to shelter the pain inside
We're all just victims of a crime

Some days you'll find me
In the place I like to go
Ask questions to myself
'Bout the things I'll never know
What's left to find
'Cause I need a little more
I need a little time
Can we even up the score?

And some say this can't be real
And I've lost my power to feel tonight
We're all just victims of a crime
When all's gone and can't be regained
We can't seem to shelter the pain inside
We're all just victims of a crime

Nothing lasts forever
For all good things it's true
I'd rather trade it all
While somehow saving you
It must have been the season
That threw us out of line
Once I stood so tall
Now I'm searching for a sign

So don't need your salvation
With promises unkind
And all those speculation
Save it for another time
'Cause we all need a reason
A reason just to stay
Some just can't be bothered
To stick around another day

And some say this can't be real
And I've lost my power to feel tonight
We've all been victims of a crime
When all is gone and can't be regained
We can't seem to shelter the pain inside (oh)
We've all been victims of a crime
Victims of a crime
Living with this crime

I'm missing you
I'm missing you
I'm missing you
I'm missing you"
54;Heretic;Hail To The King;"One snap for the dying
One click to end the day
Another story with a mangled scene
It couldn't happen any other way

You wanna talk about it?
I'm begging you to walk in my shoes any time
Watch the clock 'til you unwind
You wanna cry about it
It's making me consider that I've lost my mind
The way I see you must be blind

So this is the world you left behind
This is the guilt that consumes you

So die alone
This is the one thing that I won't do
So say your prayers
'Cause I ain't leaving here without you

Can't bribe me with money
Can't shower me with shame
Another killer from a broken home
Until you cover me with manic fame

You wanna know about it?
But I'm a be fucking with you every time
Story broken, you're behind
And when you ask about it?
You can rest assured I'll give you my best side
Seems we all have friends to find

So this is the hate I've been born to
Full are the tales of the untrue

So die alone
This is the one thing that I won't do
So say your prayers
'Cause I ain't leaving here without you

And I'm waiting
Waiting for the days to slowly pass me by
(And all the promises I'll find)
No hesitating, you pull the trigger now your story's left behind
I know you wanna see me fry
Like my soul, you won't survive

So die alone
This is the one thing that I won't do
So say your prayers
'Cause I ain't leaving here without you

To die unknown
Would crush the fish-lens we all see through
To kill the glare
Expose the ugliness we hold true"
55;Higher;The Stage;"Dark years, brought endless rain,
Out in the cold I lost my way.
But storms won't last, they clear the air,
For something new.
The sun came out and brought you through.
A lifetime full of words to say,
A hope that time will slow the passing day.

I've been wrong times over,
And I've been shamed with no words to find.
But if the sun will rise, bring us tomorrow,
Walk with me, crimson day.

Don't speak, no use for words
Lie in my arms, sleep secure.
I wonder what you're dreaming of, lands rare and far,
A timeless flight to reach the stars.
A lifetime full of words to say,
A hope that time will slow the passing day.

I've been wrong times over,
And I've been shamed, with no words to find.
But if the sun will rise, bring us tomorrow,
Walk with me, crimson day.

I've come so far to meet you here,
To share this life with one I hold so dear.
And I won't speak but what is true,
The world outside created just for you,
It's for you, for you.

I've been wrong times over,
And I've been shamed with no words to find.
But if the sun will rise, bring us tomorrow,
Walk with me crimson day."
57;I Won't See You Tonight (Part 1);Waking The Fallen;"It seems I should have walked away
Reverse the wager I've no means to pay
Toto has pulled back the green tonight, in sight
And blue pills coat with such disdain
I wore the shades for so long
That I've forgotten how to see
The curtain rises but who dares to pull the strings

I know this may be hard for you to believe and all
But you only exist because we allow it

I've questioned all the voices in my head
Are they mine or have I been misled?
Total understanding doesn't seem to mean a thing
When you can't see behind the silver screen, a figurine
Can't you hear me scream?

By the way of cosmic rays
A subtle breakdown jarred the code display
A simulation as I can tell, our cell
Playing out a hopeless scene
We stand to lose all our charm
And faith just seems to wane
A billion years can seem a stunningly short time

You've been beaten down time and time again
But still you find yourself at the center of it all

I've questioned all the voices in my head
Are they mine or have I been misled?
Total understanding doesn't seem to mean a thing
When you can't see behind the silver screen, a figurine
Can't you hear me scream?

You hear me, you had one thing to do, one thing
And you fucked it up, piece of shit
Nurse, patient six-six-six-one-five-eight needs to be sedated
We need 500cc of Blue Comfort
Oh hello there dearie, I've been expecting you

Posturing the way I feel
Is truth only what we believe is real?
Marvel the sketches that paint the night, starlight
And take a breath before it's all erased away"
58;I Won't See You Tonight (Part 2);Waking The Fallen;"Our day has come
It's drawn in the sky
So don't shed a tear now
Be thankful for the time
Life wouldn't be so precious dear
If there never was an end

Children still play in the garden
Dance as the sun slips away

We stand on the edge now
We've come so far
And through all the dust it becomes clear
You will always be my heart
There's no death, no end of time
When I'm facing it with you

Children still play in the garden
Dance as the sun slips away
Not even stars last forever
Cleanse us, Acid Rain

Stand near to me, don't look, be brave
Over the blackened moon 
I'm carrying you away 
Through the planets we fly

Children still play in the garden
Dance as the sun slips away
Not even stars last forever
Cleanse us, Acid Rain

Send us home
Send us home
Send us home
Send us home"
59;Lips Of Deceit;Sounding The Seventh Trumpet;"As I walk along
I wonder what went wrong
With our love, a love that was so strong
And as I still walk on
I think of the things we've done
Together, a-while our hearts were young

I'm a-walkin' in the rain
Tears are fallin' and I feel the pain
Wishin' you were here by me
To end this misery
And I wonder
I wah-wah-wah-wah-wonder
Why
Why, why, why, why, why she ran away
And I wonder
A-where she will stay-ay
My little runaway
Run, run, run, run, runaway

I'm a-walkin' in the rain
Tears are fallin' and I feel the pain
Wishin' you were here by me
To end this misery
And I wonder
I wah-wah-wah-wah-wonder
Why
Why, why, why, why, why she ran away
And I wonder
A-where she will stay-ay
My little runaway
Run, run, run, run, runaway
Run, run, run, run, runaway
Run, run, run, run, runaway"
60;Lost;Avenged Sevenfold;"[M. Shadows:]
A living nightmare
Asleep but still aware
The endless torture
The painless pleasure

I grasp myself
Trying to regain control
I experience and learn
In another faction of my mind
So confused
But everything makes perfect sense
Can't feel the pain
Emotional pain's so much deadlier
Lost, you've just been raped (Pain!)
Your friends can't help you
Why won't they help you?
Another reality

This can't be happening
Why is this happening?
Who the fuck are you?
Who the fuck are you?

[M. Shadows & Valary DiBenedetto:]
Trying hard to figure out what's done
I scramble but now I run
The images in my head
All the problems that I've been fed
All the problems that I've been fed
The problems in my head

Punching slowly, my mind can't change the speed
As my victims bleed
No matter what I do or how hard I try
Can't use my abilities, use my ability

Art of illusion

[M. Shadows:]
My razor sharp knife's edge (my razor sharp knife's edge)
Pierces my victim's body (pierces my victim's body)
But I (but I)
Cannot take their soul (cannot take their soul)
Punching through Jello (punching through Jello)
Stabbing, not killing (stabbing, not killing)
Disappointment (disappointment)
Discomfort (discomfort)

My razor sharp knife's edge
Pierces my victim's body
But I
Can't take their soul
Punching through Jello
Stabbing not killing
Disappointment
Discomfort"
61;Lost It All;Nightmare;"Fade
From all that was before
We shut another door
But not a last goodbye

Fate
Has taken once again
A fight we'll never win
And time again we try
Left alone, I can't wait too long
Fade

Love
We loved so many times
And in so many lives
Sometimes we got it right

Pain
It found its way back in
Until we meet again
Into that good night

None too far as we chase through the stars beyond forever
I'll follow you

Dancing in the wind as roses born again
There you'll find me
Before the dawn of man, in castles made of sand
There you'll find me
Writing in the caves as fire lights the way
There you'll find me
Mask of royal glow don in pharaoh's clothes
There you'll find me

Let it go
Yeah
Rings of dust and ice weightless in the night
There you'll find me
Let it go

Dancing in the wind as roses born again
There you'll find me
Before the dawn of man in castles made of sand
There you'll find me
Writing in the caves as fire lights the way
There you'll find me
Mask of royal glow don in pharaoh's clothes
There you'll find me

From all that was before
We shut another door
But not a last goodbye
Taken once again
A fight we'll never win
And time again we try
I'm gone
We loved so many times
And in so many lives
I'm gone
Sometimes we got it right
I'm gone
It found it's way back in
Until we meet again
I'm gone
Into that good"
62;M.I.A.;City Of Evil;"I've been away,
Searching for a reason,
Another purpose to find.
I've sailed the seas,
Fought my many demons,
I've looked to gods in the skies.

I've stood in hell,
Where many had to suffer,
I stared the devil in the eyes.
Walked many roads to witness ancient idols,
And found the great gates of fire.

Had many storms question my conviction,
Gave armies reason to rise.
The hangman's searching for bones he can borrow,
While I escaped in the night,
Fight or flight.

[Chorus:]
Live again,
All roads end,
I'll be coming home.
Tend your light,
'Cause on this night,
I'll be coming home.

Escaped the hail of calculated mortars,
Then drank the blood of a king.
The desert rain has washed away direction,
Had angels looking after me,
So it seems.

[Chorus]

Live again,
All roads end,
I'll be coming home.
Tend your light,
'Cause on this night,
I'll be coming home.

[Guitar solo]

My story ends not far from where it started,
My weary limbs have grown old.
I've seen the world through the eyes of a nomad,
Home is where the heart is I've been told,
So I go.

[Chorus]

Live again,
All roads end,
I'll be coming home.
Tend your light,
Cause on this night,
I'll be coming home.

I'm coming home
I'm coming home
I'm coming home
I'm coming home
[Guitar fades out]"
63;Mad Hatter;Black Reign;"Take the time just to listen
When the voices screaming are much too loud
Take a look in the distance
Try and see it all
Chances are that ya might find
That we share a common discomfort now
I feel I'm walking a fine line
Tell me only if it's real

Still I'm on my way
On and on it goes
Vacant hope to take

Hey – I can't live in here for another day
Darkness has kept the light concealed
Grim as ever
Hold on to faith as I dig another grave
Meanwhile the mice endure the wheel
Real as ever
And it seems I've been buried alive

I walk the fields through the fire
Taking steps until I found solid ground
Followed dreams reaching higher
Couldn't survive the fall
Much has changed since the last time
And I feel a little less certain now
You know I jumped at the first sign
Tell me only if it's real
Memories seem to fade
On and on it goes
Wash my view away

Hey – I can't live in here for another day
Darkness has kept the light concealed
Grim as ever
Hold on to faith as I dig another grave
Meanwhile the mice endure the wheel
Real as ever
And I'm chained like a slave, trapped in the dark
Slam all the locks, death calls my name
And it seems I've been buried alive

Take you down now, burn it all out
Throw you all around, get your fucking
Hands off me
What's it feel like? Took the wrong route
Watch it fall apart now you're knocking at the wrong gate
For you to pay the toll, a price for you alone
The only deal you'll find, I'll gladly take your soul

While it seems sick, sober up quick
Psycho lunatic crushing you with
Hands of fate
Shame to find out, when it's too late
But you're all the same
Trapped inside inferno awaits
Evil thoughts can hide, I'll help release the mind
I'll peel away the skin, release the dark within

This is now your life
Strike you from the light
This is now your life
Die, buried alive
This is now your life (what's it feel like)
Strike you from the light (let me take in your soul)
This is now your life (what's it feel like)
Die, buried alive (let me take in your soul)
This is now your life
Die, buried alive"
64;Malagueña Salerosa;The Stage;"Jealousy's an ugly word, but you don't seem to care
Converse behind my back, but now I'm here
Need no one to comply with me through everyone that I defeat
Don't need you, fuck camaraderie, this rage will never go away

Hatred fuels my blood, I'll burn ya down (you can't help me)
One king to watch the horsemen fail, I'll fight 'til the end (I won't help you)
I can't trust anyone, see it in my eyes
Now I can understand, it's sorrow that feeds your lies

You're on my back when the water gets too deep for you to breathe
A crutch for you that won't always be there
Hide in the dark another day, the fear in you is here to stay
So keep the fuck away from me and learn to trust the words I say

Hatred fuels my blood, I'll burn ya down (you can't help me)
One king to watch the horsemen fail, I'll fight 'til the end (I won't help you)
I can't trust anyone, witness and see it in my eyes
Now I can understand, put faith in you for the last time
It's sorrow that feeds your lies

Run from me before I tear you down (be afraid)
You chose the wrong side (it feels so right)
I won't help you, let you rot away (despise what you say)
Run towards the light exposing your soul (we won't be there by your side)
Salvation's dying (Somebody's crying)
We're all gone in the end
Sweet child, we'll miss you
So far away, far away

I can't trust anyone, witness and see it in my eyes
Now I can understand, put faith in you for the last time
It's sorrow that feeds your lies

Falling away, can't buy back time
Burned it down anyway"
65;Mattel;Life Is But A Dream…;"The mark I breathe on you
It's burning through your soul
The breath I waste, losing control
I bleed in pain testing what I know
Lips soaked in deceit, pull me from here

No one's innocent, so why do I feel bad?
But guilt keeps creeping, creeping up on me
Up on me
Guilt, tearing me up inside
The innocent, an evil in disguise
The face of beauty to fall for
I fall to my knees, deceitful
Brought down by feelings of regret
Again your mind has failed the test
Not everyone feels the same
Pacifist blinded by the game
Stand tall, they'll break your heart
Stand tall, they'll smash your ego
Stand tall, they'll tear you down
Stand tall, scar your soul
Break your thought, fuck your mind

The mark I breathe on you
It's burning through your soul
The breath I waste, losing control
I bleed in pain testing what I know
Lips soaked in deceit, pull me from this hole"
66;Natural Born Killer;Nightmare;"(Out of time...)
Doc, I'm dying, I'm feeling compromised (feeling compromised)
And so dehumanized (and so dehumanized)
I lost my final fight to disease, I feel that this is where it ends
I need that shot to enter my vein
My Brompton Cocktail blend

'Cause I can't feel my face
I won't struggle on
In a world so cold
In a world so wrong

I'm not running away, been fighting this so long (so long)
Such a price that we pay, we gotta be so strong
In a lie...

I'm tired, induced euphoria (induced euphoria)
To help me move along (help me move along)
I wanna meet my maker in peace, I want to feel alive again
So put that smile back on my face and mix it strong my friend

'Cause I can't feel my face
I won't struggle on
In a world so cold
In a world so wrong

I'm not running away, been fighting this so long (so long)
Such a price that we pay, we gotta be so strong
And I take my life tonight 'cause I have the right to die how I wanna
And leave how I arrived, so alive

I believe my sins have been forgiven
And I believe my choice will save me from this life
Please don't question why
My sins have been forgotten
I believe I'll find peace in afterlife
Please don't question why
I left this way

'Cause I can't feel my face
I won't struggle on
In a world so cold
In a world so wrong

I'm not running away, been fighting this so long (so long)
Such a price that we pay, we gotta be so strong
And I take my life tonight 'cause I have the right to die how I wanna
And leave how I arrived, so alive
(Alive)"
67;Nightmare;Nightmare;"Freed of the world
Shed of the weight
Onward to see you, my friend
Light years above (Take me higher)
Time seems to wait (Take me higher)
Promise to see you again (Higher, high)

It haunts to remember
All the memories of that day
Pre-flight demonstration
Led to desperate voices fueled by flames
Now I'm out here waiting
Hoping you would send a sign
Came a million miles
And the earth grows small as I lovingly leave it behind

Freed of the world
Shed of the weight
Onward to see you, my friend

We seem to have found it
All the hope we've been denied
There's more than we've been told
Had to find it on the other side
Now I must be dreaming
Face against the frozen glass
But there's no return now
And the blazing worlds salute
As we go flying past

Freed of the world
Shed of the weight
Onward to see you, my friend
Light years above (Take me higher)
Time seems to wait (Take me higher)
Promise to see you again (Higher, high)

Freed of the world
Shed of the weight
Onward to see you, my friend
Light years above (Take me higher)
Time seems to wait (Take me higher)
Promise to see you again (Higher, high)

Meet you in the stars tonight
There you find me drifting in the ether within the lull
Meet you in the stars tonight
There you find me drifting in the ether within the lull

Meet you in the stars tonight
There you find me drifting in the ether within the lull
Meet you in the stars tonight
There you find me drifting in the ether within the lull"
68;Nobody;Life Is But A Dream…;"Keep on writing you're just raping yourself
(Nothing here can take my mind away from them)
Don't you ask about me, ask about somebody else
(Once I've fallen there's many stories to tell)
I can feel it, won't embrace it, it's overwhelming how far you take it
(Stuck in a state of questioning)
And don't you tell me you know we are destined, you won't convince me, I won't listen
(Resentment building, you have put our lives on hold)

Trashed and scattered again, I'm feeling so low
You waste your breath while fucking with me, my blood is so cold
My destination always unknown, I'll find my way there
But you goddamn motherfuckers always wasting my time

I won't be the victim, but the first to cast a stone
Sedated nights to the bar room fights as metropolis takes its toll
And don't you try to stop me, it's a place you'll never know
Don't try to judge or take shots at me, I'll never let you seize control

Play your game and walk away, your integrity don't mean shit, huah
Crawl on me you fucking parasite, and I'm going to take you out

Label me, that's fine, I will be somebody else
(Nothing in front of me but holes ahead)
Lie about my life, have a story to tell
(Lights went down, was on the edge and I fell)
Oh you're so insightful, let me remind you to twist and break me, should make you worried
(Long way to go and you are right there)
Two-faced liar, don't try and know me, deceit brings fire, makes sure you can't breathe
(Pick at pieces of my body below)

I never bothered with all the rumors, too much garbage
(All the same)
I'll stand right here, come on you falsehood deceitful liar
(I know my destination – there's no shame)
Don't ever take my side, I know you're never right, I'll justify the means
(Nothing's what it seems)
I'll stand around and fight, but there's no point tonight, been chained to this machine

Trashed and scattered again, I'm feeling so low
You waste your breath while fucking with me, my blood is so cold
My destination's always unknown, I'll find my way there
But goddamn imposter, are you out of your mind?

I walk down these roads alone and now you are seen here
My feelings that I'm having towards you are perfectly clear
(I control this ride)
My devils appetite is tonight and now I'm alright
But you goddamn motherfuckers always wasting my time

Play your game and walk away, your integrity don't mean shit, huah
Crawl on me you fucking parasite, and I'm going to take you out

I won't be the victim, but the first to cast a stone
Sedated nights to the bar room fights as metropolis takes its toll
And don't you try to stop me, it's a place you'll never know
Don't try to judge or take shots at me, I'll never let you seize control

Don't try and get the best of me
(No one can help but your own self)
City makes my body ache
(Lonely, don't try and prey on me)
Feel your world keep dying, (Don't try and get the best of me)
(No one can help but your own self)
No more use in trying (City makes my body ache)
(Lonely, don't try and prey on me)
And my body's trashed and low, but to you I'll never show myself or what's inside
And I've seen it all before and I'll settle the score
I'll never join your side"
69;Not Ready To Die;Black Reign;"My story starts the day they said, ""She can't be found.""
The news so dark, heart stopped, I stood silent without a sound
It's over, she's finished, mother lies with your father and sister too
Cold-blooded, they suffered, shot down by the outlaws after you
Sorrow swallows my screams

Strength of the world is on my shoulders
Strength of the world is on my side
Strength of the world – the one true beholder
Ice in my veins for those who've died

I've seen my family fade away, you've taken my whole life
There's nothing left to say

Avenge the dead killed all who crossed me in my path
Suicidal, I never planned on coming back
I want it, I need it, revenge is dripping from my teeth
Need nothing to feel power and bring the killers to their knees
Nothing to lose vengeance to gain (you know I'll never be the same)
So taste my breath I'm close behind you (so desperate on your final day)
Sorrow swallows my screams

Strength of the world is on my shoulders
Strength of the world is on my side
Strength of the world – the one true beholder
Ice in my veins for those who've died

I've seen my family fade away, you've taken my whole life
There's nothing left to say

Sitting in silence with heaven above me I prayed every night by their graves
While I search for closure I feel it no longer
I can't turn my cheek away
I stand before you, I'll sin when I have to
But now I leave your side to avenge my family's pride

I've seen my family fade away, you've taken my whole life
There's nothing left to say

Strength of the world is on my shoulders
Strength of the world is on my side
Strength of the world – the one true beholder
Ice in my veins for those who've died

So far forever now alone, a greater punishment on me has been imposed
A killer falling from the light, I'll miss my family, I'll never be alright

That's all she wrote"
70;Paradigm;The Stage;"Lost the meaning of our stay
Learn to live another day
Doubt the choices that we've made
I know that we can't hide our shame
It's only in disguise

Drowning in our own debris
Fool our thoughts as though we're free
Close our eyes so we can see
The depth of all we mean to be
If only in my eyes

I don't mind
(Read the writing on the wall)
Mother cries
(Tortured voices as we crawl)
Find me on my better days
To lose it once again
In a way

So try and love me while you can
And take the time to understand
As long as I can touch your face
You know I'll never leave this place
If only in my mind

I don't mind
(Read the writing on the wall)
Mother cries
(Tortured voices as we crawl)
Find me on my better days
To lose it once again
But I seem to find no better ways
To consciously pretend

Silence all I want to say
With tendencies to run away
I'll run away
With you tonight
Launder all my sins away
And just like that mistakes are made
You know
Tonight the world dies

I don't mind
(Read the writing on the wall)
Mother cries
(Tortured voices as we crawl)
Find me on my better days
To lose it once again
But I seem to find no better ways
To consciously pretend"
71;Paranoid;Diamonds In The Rough;"Hard news, taken harder, don't look to me
Disappointed, we don't agree, we don't need your praise
(Don't look my way for help, from the beginning you came to me)
Never asked you to like me
We don't need your praise (we won't play your games)
Look down on me, spit in my face
You're nothing to me
Not to me

Darkened eyes you'll see
There is no hope, no savior in me
(Don't look this way, don't breathe this way
Don't stare this way, anymore)
Learned from years gone by
No one will care what happens to me
(Don't look this way, don't breathe this way
Don't stare this way, anymore)

My presence won't be ignored, no not today
Don't walk in my direction, turn the other way
(Don't look my way for help, from the beginning you came to me)
Asking questions, predetermined answers
You won't find them here (we don't want your praise)
And I don't want you, I won't let you think
Compromise is near
'Cause it's not near

Darkened eyes you'll see
There is no hope, no savior in me
(Don't look this way, don't breathe this way
Don't stare this way, anymore)
Learned from years gone by
No one will care what happens to me
(Don't look this way, don't breathe this way
Don't stare this way, anymore)

I'm alone in here
No more feelings
Killed my fears
Don't ask
You'll never know
You're left behind and I'll be exposed

Far away, you keep on trying
Holding me down, breaking away
Trying to distance my life
Not one in the crowd, one with the answer
One that could change your mind
But it's not true, I don't need you
Don't waste your time and don't waste mine
I'm not your friend, won't soothe your soul
And in the end, you're all dead to me"
72;Planets;Hail To The King;"Hey kid (hey kid), do I have your attention?
I know the way you've been living
Life so reckless
Tragedy endless
Welcome to the family

Hey, there's something missing
Only time will alter your vision
Never in question
Lethal injection
Welcome to the family

Not long ago you'd find the answers were so crystal clear
Within a day you find yourself living in constant fear
Can you look at yourself now?
Can you look at yourself?!
You can't win this fight

And in a way it seems there's no one to call
When our thoughts are so numb and our feelings unsure
We all have emptiness inside
We all have answers to find
But you can't win this fight

Hey (hey kid), I have to question
What's with the violent aggression?
Details blurry
Lost 'em too early
Welcome to the family

Hey, why won't you listen?
Can't help the people you're missing
It's been done
A casualty rerun
Welcome to the family

I'll try and help you with the things that can't be justified
I need to warn you that there is no way to rationalize
So have you figured it out now?
So have you figured it out?!
You can't win this fight

And in a way it seems there's no one to call
When our thoughts are so numb and our feelings unsure
We all have emptiness inside
We all have answers to find
But you can't win this fight

Gunning for you
And all mankind
I've lost my mind
Psychotic, rapid dementia
I won't be fine

I see, you're a king who's been dethroned (been dethroned)
Cast out in a world you've never known (never known)
Stand down, place your weapons by your side (by your side)
It's our war, in the end we'll surely lose but that's alright (you'll surely lose to me)

So have you figured it out now?
So have you figured it out?!

And in a way it seems there's no one to call
When our thoughts are so numb and our feelings unsure
We all have emptiness inside
We all have answers to find
But you can't win this fight

Deep inside
Where nothing's fine
I lost my mind
You're not invited
So step aside
I lost my

Deep inside
Where nothing's fine
I lost my mind
You're not invited
So step aside
I lost my"
73;Radiant Eclipse;Waking The Fallen;"Like walking into a dream, so unlike what you've seen
So unsure but it seems, 'cause we've been waiting for you
Fallen into this place, just giving you a small taste
Of your afterlife here so stay, you'll be back here soon anyway

I see a distant light, but girl this can't be right
Such a surreal place to see so how did this come to be
Arrived too early

And when I think of all the places I just don't belong
I've come to grips with life and realize this is going too far

I don't belong here, we gotta move on dear, escape from this afterlife
'Cause this time I'm right to move on and on, far away from here

A place of hope and no pain, perfect skies with no rain
Can leave this place but refrain, 'cause we've been waiting for you
Fallen into this place, just giving you a small taste
Of your afterlife here so stay, you'll be back here soon anyway

This peace on earth's not right (with my back against the wall)
No pain or sign of time (I'm much too young to fall)
So out of place don't wanna stay, I feel wrong and that's my sign
I've made up my mind

Give me your hand but realize I just wanna say goodbye
Please understand I have to leave and carry on my own life

I don't belong here, I gotta move on dear escape from this afterlife
'Cause this time I'm right to move on and on, far away from here
Got nothing against you and surely I'll miss you
This place full of peace and light, and I'd hoped you might
Take me back inside, when the time is right

Loved ones back home all crying 'cause they're already missing me
I pray by the grace of God that there's somebody listening
Give me a chance to be that person I wanna be
(Who are you? I'm broken, I'm choking on this ecstasy.)
Oh Lord I'll try so hard but you gotta let go of me
(Unbreak me, unchain me, I need another chance to live.)

I don't belong here, I gotta move on dear escape from this afterlife
'Cause this time I'm right to move on and on, far away from here
Got nothing against you and surely I'll miss you
This place full of peace and light, and I'd hoped you might
Take me back inside when the time is right"
74;Remenissions;Waking The Fallen;"Give me your hand, (Conceived and born was one of light)
Blood is spilt and man will follow
Infernal man (Rain and dark, the other born black night)
Punishment too great to bear
Raise your head, and taste the courage
(The one of light)
Fall from grace, unholy night
I've come here to kill you
Won't leave until you've died
Murder born of vengeance
I closed my brothers eyes tonight

Give me your hand, (Conceived and born was one of light)
Blood is spilt and man will follow
Infernal man (Rain and dark, the other born black night)
Punishment too great to bear
Raise your head, and taste the courage
(The one of light)
Fall from grace, unholy night
I've come here to kill you
Won't leave until you've died
Murder born of vengeance
I closed my brothers eyes tonight

It's cold tonight as the clouds turn grey
And from my hands, to my brothers grave
You took his side, you took his gift
Feel the power of a fallen man
Crestfallen man

Far away in this land I must go
Out of the sight of the One
A punishment sent from his hands
A hardship that no one should know
Now go out of the sight of the One
Away in this land you must go

Where has he gone? What have you done?
A voice commands from high above this earth
From the soil his blood cries out to me
Murder, liar, vengeance, deceit

Far away in this land I must go
Out of the sight of the One
A punishment sent from his hands
A hardship that no one should know
Now go out of the sight of the One
Away in this land you must go"
75;Requiem;Hail To The King;"It's easier to just walk away
I know you'll see brighter days along the way

I've been shaped by peaks and valleys
Found a plateau where I cursed at the sky
Sometimes I feel that the rain falls for me
Bound to the flesh till the day that I die

It's easier to just walk away
I know you'll see brighter days along the way

Days like this come as days go
And all that you love just as soon be goodbyes
What was so far for so long now behind me
What
Far
Long
So hold applause till the end of the ride

It's easier to just walk away
I know you'll see brighter days along the way
It's easier to just walk away
I know you'll see brighter days along the way

It's easier, it's easier
Easier
Easier, easier
It's easier"
76;Retrovertigo;The Stage;"From the manor a cutting whisper
Rising vapors through clocks of gold
Gilding fire unchains the demons
With undercurrents far too strong to hold

The sun burned out today
And fools are dancing in the rain
Scarred by the acid stain
And on the shelf a jar that holds my brain

Nightfall haunts us all from the shadows
Cynical beauty now lights the halls
Before the flicker there was only blackness
The end is coming and all my friends are dead

The sun burned out today
And fools are dancing in the rain
Scarred by the acid stain
And on the shelf a jar that holds my brain

Gripped by an empty world
Suffer the crushing weight
Madness will crawl inside
Alter the sober state
They're feeding all the voices in my head

(Slowly we're bled)
(Slowly we're bled)
(Slowly we're bled)
(Slowly we're bled)
(Slowly we're bled)

The Labyrinth hedges return to soil
Mother's weeping will go unheard
The dove that once flew here through the mazes
Had seen the darkness and chose to take its life

The sun burned out today
And fools are dancing in the rain
Scarred by the acid stain
And on the shelf a jar that holds my brain

Gripped by an empty world
Suffer the crushing weight
Madness will crawl inside
Alter the sober state
They're feeding all the voices in my head
They're feeding all the voices in my head
They're feeding all the voices in my head
They're feeding all the voices in my head"
77;Roman Sky;The Stage;"""I'll try,"" she said as she walked away
""Try not to lose you.""
Two vibrant hearts could change
Nothing tears the being more than deception
Unmasked fear
""I'll be here waiting."" tested and secure

Nothing hurts my world
Just affects the ones around me
When sin's deep in my blood
You'll be the one to fall

""I wish I could be the one
The one who won't care at all
But being the one on the stand
I know the way to go, no one's guiding me
When time soaked with blood turns its back
I know it's hard to fall
Confided in me was your heart
I know it's hurting you, but it's killing me.""

Nothing will last in this life
Our time is spent constructing
Now you're perfecting a world... meant to sin
Constrict your hands around me
Squeeze 'til I cannot breathe
This air tastes dead inside me
Contribute to our plague
Break all your promises
Tear down this steadfast wall
Restraints are useless here
Tasting salvation's near

Nothing hurts my world
Just affects the ones around me
When sin's deep in my blood
You'll be the one to fall

""I wish I could be the one
The one who won't care at all
But being the one on the stand
I know the way to go, no one's guiding me
When time soaked with blood turns its back
I know it's hard to fall
Confided in me was your heart
I know it's hurting you, but it's killing me."""
78;Runaway;The Stage;"Like walking into a dream, so unlike what you've seen
So unsure but it seems, 'cause we've been waiting for you
Fallen into this place, just giving you a small taste
Of your afterlife here so stay, you'll be back here soon anyway

I see a distant light, but girl this can't be right
Such a surreal place to see so how did this come to be
Arrived too early

And when I think of all the places I just don't belong
I've come to grips with life and realize this is going too far

I don't belong here, we gotta move on dear, escape from this afterlife
'Cause this time I'm right to move on and on, far away from here

A place of hope and no pain, perfect skies with no rain
Can leave this place but refrain, 'cause we've been waiting for you
Fallen into this place, just giving you a small taste
Of your afterlife here so stay, you'll be back here soon anyway

This peace on earth's not right (with my back against the wall)
No pain or sign of time (I'm much too young to fall)
So out of place don't wanna stay, I feel wrong and that's my sign
I've made up my mind

Gave me your hand but realize I just wanna say goodbye
Please understand I have to leave and carry on my own life

I don't belong here, I gotta move on dear, escape from this afterlife
'Cause this time I'm right to move on and on, far away from here
Got nothing against you and surely I'll miss you
This place full of peace and light, and I'd hoped you might
Take me back inside, when the time is right

Loved ones back home all crying 'cause they're already missing me
I pray by the grace of God that there's somebody listening
Give me a chance to be that person I wanna be
(I am unbroken, I'm choking on this ecstasy.)
Oh Lord I'll try so hard but you gotta let go of me
(Unbreak me, unchain me, I need another chance to live.)

I don't belong here, I gotta move on dear, escape from this afterlife
'Cause this time I'm right to move on and on, far away from here
Got nothing against you and surely I'll miss you
This place full of peace and light, and I'd hoped you might
Take me back inside, when the time is right"
